date,weight
12.08.2019,3168
16.08.2019,3126
17.08.2019,3138
18.08.2019,3348
20.08.2019,3286
22.08.2019,3626
26.08.2019,3797
30.08.2019,3734
06.09.2019,4135
18.09.2019,4972
25.09.2019,4961
04.10.2019,5374
10.10.2019,5475
21.10.2019,5468
28.10.2019,5587
31.10.2019,5827
02.11.2019,5939
03.11.2019,5966
07.11.2019,6110
11.11.2019,6229
12.11.2019,6083
13.11.2019,6289
14.11.2019,6220
15.11.2019,5905
16.11.2019,6131
17.11.2019,6356
18.11.2019,6417
19.11.2019,6177
20.11.2019,6394
21.11.2019,6190
22.11.2019,6179
23.11.2019,6485
24.11.2019,6180
26.11.2019,6300
28.11.2019,6212
30.11.2019,6392
01.12.2019,6513
02.12.2019,6529
03.12.2019,6344
05.12.2019,6576
07.12.2019,6497
08.12.2019,6320
09.12.2019,6356
10.12.2019,6387
11.12.2019,6669
12.12.2019,6431
13.12.2019,6640
14.12.2019,6600
15.12.2019,6660
16.12.2019,6740
17.12.2019,6740
18.12.2019,6670
19.12.2019,6730
20.12.2019,6780
21.12.2019,6780
22.12.2019,6860
23.12.2019,6860
24.12.2019,6840
25.12.2019,6880
26.12.2019,6900
27.12.2019,6910
28.12.2019,6950
29.12.2019,7000
30.12.2019,7040
31.12.2019,7020
01.01.2020,7010
02.01.2020,7100
03.01.2020,7110
04.01.2020,7110
05.01.2020,7110
06.01.2020,7120
07.01.2020,7120
08.01.2020,7150
09.01.2020,7150
10.01.2020,7250
11.01.2020,7250
12.01.2020,7200
13.01.2020,7200
14.01.2020,7200
15.01.2020,7190
22.01.2020,7360
29.01.2020,7500
20.02.2020,7930
01.03.2020,8000
12.03.2020,8040
18.03.2020,8350
29.03.2020,8490
18.04.2020,8830
30.04.2020,9010
31.07.2020,10500